abaissé;descendu
apocalypse;cataclysmique
apocalyptique;dantesque
apocryphe;centurique
apogée;summum
apolitique;progressiste
apollon;giton
apologie;accusation
apologiste;admirateur
apoplectique;vrilla
apostrophe;ponctuation
apostropher;persifler
apothéose;aboutissement
apôtre;disciple
apparaissait;semblait
apparaissent;affichent
apparaît;surgit
apparaître;figurer
appareil;enregistreur
appareillage;diagnostic
appareils;capteurs
apparemment;priori
apparence;ressemblance
apparences;formes
apparent;habituel
apparente;habituelle
appariteur;cantonnier
appartement;immeuble
appartements;immeubles
appartenait;occupait
appartenance;rattachement
appartenir;rattacher
appartenu;revendu
appartiennent;composent
appartient;rattache
apparu;intervenu
apparue;devenue
apparues;intervenues
apparus;existaient
appauvrir;asphyxier
appel;recourir
appelait;entendait
appelant;enjoignant
appelée;connue
appeler;inviter
appelés;nomment
appellation;expression
appelle;entend
appellent;demandent
appels;courriers
appendice;fascicule
appendicite;scarlatine
appentis;moellons
appesantir;accabler
appétissant;huuummm
appétit;gourmandise
appétits;orgueils
applaudi;ovationne
applaudir;conspuer
applaudissements;ovation
applaudit;ovationne
applicable;vigueur
applicables;vigueur
application;interface
applications;technologies
appliquant;assimilant
applique;autorise
appliquée;admise
appliquées;introduites
appliquer;assimiler
apport;avantage
apportait;amenait
apportant;redonnant
apporte;procure
apporté;fourni
apportée;fournie
apportées;induites
apportent;offrent
apporter;offrir
apportera;permettra
apportés;offerts
apports;contributions
apposer;estampiller
appréciable;sympa
appréciation;analyse
apprécie;affectionne
apprécié;beaucoup
appréciée;accueillie
apprécient;reconnaissent
apprécier;observer
appréciés;reconnus
appréhender;maitriser
appréhension;incertitude
apprenait;pensait
apprenant;pensant
apprend;explique
apprendre;initier
apprennent;familiarisent
apprenti;enseignant
apprentie;instructrice
apprentis;employeurs
apprentissage;initiation
apprêt;chromage
apprêté;servi
apprêter;concocter
apprivoisement;habituation
apprivoiser;accoutumer
approbation;soumission
approche;pragmatique
approché;descendu
approcher;imaginer
approches;typologies
approfondie;connaissance
approfondies;pertinentes
approfondir;clarifier
approfondissement;consolidation
approprié;convient
appropriée;satisfaisante
approuve;ratifie
approuvent;avalisent
approuver;soumettre
approvisionnement;distribution
approvisionnements;logistiques
approvisionner;alimenter
approvisionneur;fournisseur
approximative;hasardeuse
approximativement;presque
appui;accompagnement
appuis;montants
appuyé;soutenu
appuyée;soutenue
appuyer;soutenir
appuyés;soutenues
après;pendant
après-midi;matin
aptes;prompts
aptitude;propension
aptitudes;talents
aquarelle;linogravure
aquarelliste;illustrateur
aquilon;mugissante
arabe;amazigh
arabes;palestiniens
arabesque;ornementation
arachide;cacao
araignée;bestiole
arbalète;catapulte
arbitrages;conciliations
arbitraire;aberrante
arbitraires;subjectives
arbitral;adverse
arbitre;adversaire
arboriculture;vergers
arbre;troncs
arbres;bambous
arbrisseau;tamarix
arbuste;plante
arcade;consoles
arcades;consoles
arceau;aileron
archaïque;anachronique
archaïsme;autoritarisme
arche;ossature
archéologie;ethnographie
archéologue;fouilleur
archéologues;historiens
archet;virtuose
archidiacre;prieur
archimandrite;athonite
architecte;paysagiste
architectes;designers
architectonique;monumental
architectural;urbain
architecturale;conceptuelle
architecture;urbanisme
archives;microfilms
archiviste;musicologue
archivistique;catalogage
archonte;prytane
ardemment;davantage
ardent;partisan
ardeur;hargne
arène;capea
arête;courbure
argent;pognon
argentan;lisieux
argenterie;bijoux
argentin;mexicain
argentine;espagnole
argentins;paraguayens
argile;pierre
argot;baragouin
argotique;sociolecte
arguant;admettant
arguer;exciper
argument;sophisme
argumentation;analyse
argumenter;critiquer
arguments;convainquants
arias;intermezzi
aride;fertile
aristocrate;noble
aristocratie;gentry
aristocratique;noblesse
arithmétique;euclidienne
armada;escadre
armateur;banquier
armateurs;capitaines
armature;acier
armée;troupes
armées;miliciennes
armement;artillerie
armements;antimissiles
arménien;azerbaidjanais
arménienne;libanaise
arméniens;syriaques
armer;fortifier
armes;kalachnikovs
armés;progouvernementaux
armoire;meuble
armoiries;cotices
aromates;assaisonnements
aromatique;flaveur
aromatiser;parfumera
arôme;aromatisation
arpenter;promener
arraché;perdu
arracher;ramener
arrangement;convenu
arranger;accommoder
arrestation;emprisonnement
arrestations;rafles
arrêt;infirmatif
arrête;commence
arrêté;repris
arrêtée;poursuivie
arrêtées;poursuivies
arrêter;abandonner
arrêtés;abattus
arrêtoir;goupille
arrêts;penalties
arriéré;primitif
arrière-garde;troupes
arrière-plan;image
arrières;larges
arriérés;retards
arrimer;assujettir
arrivage;assortiement
arrivait;passait
arrivant;repartant
arrivants;venus
arrive;commence
arrivé;sorti
arrivée;imminente
arrivées;attendues
arrivent;repartent
arriver;rentrer
arrivés;parvenus
arrogamment;prendroit
arrogance;effronterie
arrogant;vindicatif
arrondi;aplati
arrondissement;circonscription
arrosé;copieusement
arroser;irriguer
arsenal;outillage
arsenic;fluor
artère;sylvienne
artériosclérose;angiopathie
arthrite;tendinite
article;paragraphe
articles;commentaires
articulé;rotatif
articuler;harmoniser
artifice;pyromusicale
artificiel;humain
artificielle;flottante
artificiellement;gonflant
artificielles;florales
artillerie;obusier
artilleur;fusilier
artisan;apprenti
artisanale;fabrication
artisanat;commerce
artisans;sculpteurs
artiste;sculpteur
artistes;compositeurs
artistique;culturel
artistiques;picturales
arythmie;cardiomyopathie
asbeste;lamiante
ascendant;uranus
ascenseur;escaliers
ascension;gravir
ascète;sadhu
ascétique;mortification
ascétisme;mortifications
aseptique;operculeuse
asiatique;indienne
asiatiques;vietnamiens
asocial;casanier
aspect;effet
aspects;principes
asperge;poireau
asperger;gazer
asperges;betteraves
aspérité;boursouflure
asphaltage;accotements
asphalte;gravier
asphalté;carrossables
asphalter;accoter
asphyxie;suffoquer
aspic;sarriette
aspirant;incarnant
aspirateur;rowenta
aspiration;succion
aspirations;besoins
aspire;incarne
aspirent;recherchent
aspirer;siphonner
aspirine;lexomil
assaillants;jihadistes
assaillir;harceler
assainir;nettoyer
assainissement;adductions
assaisonnement;marinade
assaisonner;aromatiser
assassin;meutrier
assassinat;meurtres
assassinats;viols
assassiné;abattu
assassiner;poignarder
assassinés;abattus
assassins;tortionnaires
assaut;embuscade
assauts;combats
assécher;tarir
assemblage;empilement
assemblée;constituante
assemblées;tenues
assembler;former
asséner;balancer
assentiment;refus
assertion;fausse
asservi;trahi
asservir;annihiler
asseyez-vous;bavardez
assez;excessivement
assiduité;motivation
assiéger;fortifier
assiette;verrine
assignation;saisie
assigner;octroyer
assimilateur;ethnocentrique
assimile;rejette
assimilé;reconnu
assimiler;absorber
assis;accroupi
assise;avachie
assises;audiences
assistance;hotline
assistant;collaborateur
assistante;formatrice
assistants;personnels
assiste;observe
assisté;participait
assistée;manuelle
assister;effectuer
assistera;organisera
associant;incorporant
associatif;collectif
associations;entreprises
associative;culturelle
associe;organise
associées;correspondantes
associer;organiser
associés;relatifs
assoiffé;buveur
assombri;noirci
assommant;abrutissant
assonance;paronymie
assorti;fourni
assortie;incluse
assortiment;arrivage
assoupi;somnolait
assouplir;resserrer
assouplissement;instauration
assourdir;entendre
assourdissant;grondement
assouvi;satisfaire
assouvir;combler
assujetti;redevable
assujettir;opprimer
assume;renonce
assumer;revendiquer
assurait;expliquait
assurances;compagnies
assurant;fournissant
assure;garantisse
assuré;reconnu
assurée;acquise
assurées;offertes
assurément;aussi
assurent;apportent
assurer;favoriser
assurera;favorisera
assurés;garantis
assureur;emprunteur
assureurs;banquiers
asthénie;dyspepsie
asthmatique;tousse
asthme;rhume
asticoter;engueuler
astigmate;diplopie
astigmatisme;presbytie
astiquer;limer
astrakan;cachemire
astreintes;ponctuelles
astrologie;horoscopique
astrologique;zodiacale
astrologue;cartomancienne
astronaute;physicien
astronautique;spatiale
astronome;cosmologiste
astronomie;ornithologie
astronomique;observatoire
astuce;anecdote
astucieux;innovant
asymétrie;inefficience
asymétrique;bicolore
asynchrone;multithread
atavique;identitaire
atavisme;instinctuel
atchoum;lilounette
atelier;workshop
ateliers;stages
athée;croyante
athéisme;incroyance
athérosclérose;coronarienne
athlète;sprinteuse
athlétique;musculature
athlétisme;football
atlantique;maritime
atlas;almanach
atmosphère;pesante
atmosphérique;radiatif
atome;neutron
atomique;nucleaire
atonie;indolence
atout;important
atouts;faiblesses
atroce;insupportable
atrocité;sauvagerie
atrophie;aplasie
atropine;morphine
attaché;solidement
attachement;admiration
attacher;arrimer
attaque;agression
attaquer;contrer
attaques;aggressions
